series,axis_cells,regions,ranks,mode,stage,samples,seconds_max_rank_median,seconds_max_rank_min,seconds_max_rank_max,peak_rss_bytes_max_rank_median,peak_rss_bytes_max_rank_min,peak_rss_bytes_max_rank_max,measured_mesh_bytes_max_rank_median,measured_mesh_bytes_max_rank_min,measured_mesh_bytes_max_rank_max,compatibility_bytes_max_rank_median,compatibility_bytes_max_rank_min,compatibility_bytes_max_rank_max,ghost_owned_ratio_max_rank_median,ghost_owned_ratio_max_rank_min,ghost_owned_ratio_max_rank_max
main,32,2,2,materialized,execution_view_setup,1,9.32e-07,9.32e-07,9.32e-07,77553664,77553664,77553664,2963304,2963304,2963304,557064,557064,557064,0.0625,0.0625,0.0625
main,32,2,2,materialized,native_region_traversal_average,1,0.0010574148,0.0010574148,0.0010574148,77553664,77553664,77553664,2963304,2963304,2963304,557064,557064,557064,0.0625,0.0625,0.0625
main,32,2,2,materialized,output,1,0.034346912,0.034346912,0.034346912,86253568,86253568,86253568,2963304,2963304,2963304,557064,557064,557064,0.0625,0.0625,0.0625
main,32,2,2,materialized,solve_including_preconditioner,1,0.020890135,0.020890135,0.020890135,84811776,84811776,84811776,2963304,2963304,2963304,557064,557064,557064,0.0625,0.0625,0.0625
main,32,2,2,materialized,traversal_average,1,0.0291516906,0.0291516906,0.0291516906,77553664,77553664,77553664,2963304,2963304,2963304,557064,557064,557064,0.0625,0.0625,0.0625
main,32,2,2,native,application_average,1,7.0517e-05,7.0517e-05,7.0517e-05,86265856,86265856,86265856,183744,183744,183744,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,native,assembly,1,0.023947142,0.023947142,0.023947142,85471232,85471232,85471232,183744,183744,183744,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,native,construction,1,0.057620105,0.057620105,0.057620105,81670144,81670144,81670144,183744,183744,183744,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,native,execution_view_setup,1,4.38e-07,4.38e-07,4.38e-07,81825792,81825792,81825792,183744,183744,183744,0,0,0,0.0625,0.0625,0.0625
main,32,2,2,native,output,1,0.038049501,0.038049501,0.038049501,88563712,88563712,88563712,183744,183744,183744,0,0,0,0.0625,0.0625,0.0625
